instrument_name,serial_number,notes,locker_assignment_id,student_id,instrument_kind,book_accessory,case_accessory,cork_grease_accessory,ligature_accessory,mouth_piece_accessory,oil_accessory,polishing_cloth_accessory,reeds_accessory,swab_accessory,condition
Bundy,AS13090079,,118,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Generic,677,,119,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Generic,91,,,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Generic,BS13070014,,,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Yamaha,Ytr2330/v34879,,91,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
King,269044,,93,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Yamaha,YTR2335/412344A,,94,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Yamaha,YTR2330/V35173,,95,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Besson,609827403,,97,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Yamaha,YTR2330/U50561,,98,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Yamaha,YTR2320/008802A,,99,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
King,268998,,101,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Bach,ML283276***,,102,,trumpet,1,1,0,0,1,1,1,0,0,excellent condition
Conn,AK20007286,,103,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Yamaha,YTR2330/V35182,,104,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Etude,TR19120774***,,105,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
King,268964,,106,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Yamaha,U48485,,107,,trumpet,1,1,0,0,1,1,1,0,0,broken
King,141260,,108,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
Etude,45454,,109,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
King,959407,,110,,trumpet,1,1,0,0,1,1,1,0,0,decent condition
